"You canceled the coupon code ""%1"".","You canceled the coupon code ""%1""."
"The coupon code ""%1"" is not valid.","The coupon code ""%1"" is not valid."
"Discount Codes","Discount Codes"
"Enter your code","Enter your code"
"Apply Coupon","Apply Coupon"
"APPLIED COUPONS","APPLIED COUPONS"
Cancel,Cancel
"Your coupon was successfully applied","Your coupon was successfully applied"
"Coupon code is not valid","Coupon code is not valid"
"Coupon code was removed","Coupon code was removed"
"Amasty Extensions","Amasty Extensions"
"Multiply Coupons","Multiply Coupons"
General,General
"Unique codes","Unique codes"
