None,None
Price,Price
No,No
Enabled,Enabled
"Sort Order","Sort Order"
Title,Title
Type,Type
Country,Country
"Zip/Postal Code","Zip/Postal Code"
Condition,Condition
Region/State,Region/State
"Shipping Price","Shipping Price"
"Region Shipping","Region Shipping"
"Displayed Error Message","Displayed Error Message"
"Ship to Applicable Countries","Ship to Applicable Countries"
"Ship to Specific Countries","Ship to Specific Countries"
"Show Method if Not Applicable","Show Method if Not Applicable"
"Method Name","Method Name"
"Minimum Order Amount","Minimum Order Amount"
